LCLid,Age,Sex,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,Label
ip5cseek,56,M,12-11-19,0.205,0.2566875,1.124,48,0.223120915,12.321,0.074,0
lze5g31s,54,M,13-11-19,0.173,0.213833333,0.907,48,0.154892596,10.264,0.075,1
3xkifr2p,41,M,14-11-19,0.1745,0.225416667,1.154,48,0.181444539,10.82,0.076,1
ltq1l3jh,43,F,15-11-19,0.154,0.204333333,0.962,48,0.155063519,9.808,0.075,0
t8j4q00m,32,M,16-11-19,0.217,0.27325,1.341,48,0.231303568,13.116,0.074,0
3g17e7sg,65,M,17-11-19,0.162,0.203541667,0.806,48,0.143391142,9.77,0.075,1
wmxemk5r,41,F,18-11-19,0.231,0.2870625,1.207,48,0.233281713,13.779,0.075,0
tq0dzwy1,48,F,19-11-19,0.136,0.211395833,0.796,48,0.159597598,10.147,0.075,0
slapc5xt,48,F,20-11-19,0.198,0.233770833,1.188,48,0.190127308,11.221,0.077,0
98aj7lly,54,F,21-11-19,0.1965,0.221604167,1.174,48,0.184383243,10.637,0.08,0
458ragqk,54,F,22-11-19,0.1405,0.196666667,0.971,48,0.147938937,9.44,0.073,1
mpki3n05,35,M,23-11-19,0.1565,0.209395833,1.011,48,0.176897342,10.051,0.073,0
624g6tmu,52,M,24-11-19,0.1945,0.229645833,1.086,48,0.17763176,11.023,0.073,0
lhbkt4te,43,M,25-11-19,0.193,0.2196875,0.917,48,0.165303352,10.545,0.075,1
p0b4mhif,59,M,26-11-19,0.136,0.20575,1.097,48,0.170666715,9.876,0.074,0
c5wak8m5,37,M,27-11-19,0.1935,0.228708333,1.02,48,0.185923109,10.978,0.073,0
vt8w7z01,50,M,28-11-19,0.1975,0.2238125,1.192,48,0.187526073,10.743,0.075,0
6yfj4co0,36,M,29-11-19,0.1515,0.224395833,1.122,48,0.205322242,10.771,0.071,0
04jbodmf,41,M,30-11-19,0.221,0.272666667,0.919,48,0.20731591,13.088,0.073,1
ht88wu6s,50,M,01-12-19,0.216,0.2663125,1.156,48,0.220856472,12.783,0.073,1
ivmxw2us,47,F,02-12-19,0.2395,0.319875,1.327,48,0.276659452,15.354,0.077,1
vkj9kjwx,45,M,03-12-19,0.134,0.2118125,1.027,48,0.201161379,10.167,0.073,0
ute0q0ty,41,F,04-12-19,0.1625,0.232145833,0.966,48,0.19577538,11.143,0.073,0
28sgnyh1,52,F,05-12-19,0.1535,0.244041667,1.066,48,0.218217826,11.714,0.072,0
804r5xzd,51,F,06-12-19,0.1435,0.246875,0.983,48,0.222528949,11.85,0.074,0
mg1x213p,31,M,07-12-19,0.193,0.275999998,1.124,48,0.243058606,13.2479999,0.071,1
edmkp8n5,58,M,08-12-19,0.228,0.280041667,1.071,48,0.22376507,13.442,0.073,1
s2j4qf0j,54,M,09-12-19,0.1925,0.236562502,1.1440001,48,0.197266101,11.3550001,0.072,0
n1e3tfw4,52,M,10-12-19,0.18,0.210895833,0.731,48,0.152040901,10.123,0.073,1
8ruux4sw,49,M,11-12-19,0.194,0.273595745,1.119,47,0.244368277,12.859,0.072,0
7fg7ol35,43,F,12-12-19,0.1665,0.249395833,0.895,48,0.203816119,11.971,0.073,0
02f0opkr,45,M,13-12-19,0.1835,0.227541667,1.049,48,0.181850647,10.922,0.08,0
k8ik6gk0,46,M,14-12-19,0.165,0.2205,0.764,48,0.162668178,10.584,0.073,1
5vqf6e93,50,F,15-12-19,0.2655,0.297020833,1.154,48,0.19936308,14.257,0.072,0
x0ismfo3,37,F,16-12-19,0.2905,0.3436875,1.067,48,0.252925029,16.497,0.073,0
q8im1agz,45,F,17-12-19,0.212,0.254208333,1.434,48,0.203584784,12.202,0.083,0
oc3rxw5o,32,M,18-12-19,0.166,0.213645833,0.857,48,0.147193965,10.255,0.078,0
yymzeor9,52,M,19-12-19,0.2195,0.255520835,1.2180001,48,0.203836092,12.2650001,0.073,1
dsjcls8c,44,M,20-12-19,0.2175,0.231708333,0.727,48,0.155592069,11.122,0.073,0
yn3raqd0,57,M,21-12-19,0.202,0.244,1.145,48,0.208624574,11.712,0.083,1
0rkvacwe,44,M,22-12-19,0.2565,0.373583333,1.692,48,0.336740751,17.932,0.078,0
xyd3iao9,52,M,23-12-19,0.109,0.1661875,1.12,48,0.203304054,7.977,0.069,1
4fnzg8qk,44,F,24-12-19,0.1045,0.1038125,0.186,48,0.024253674,4.983,0.073,0
cvsysniv,55,M,25-12-19,0.102,0.102270833,0.149,48,0.019321182,4.909,0.073,1
1jeh98p7,46,M,26-12-19,0.111,0.159375,1.36,48,0.248599877,7.65,0.073,0
se62cx9w,32,M,27-12-19,0.1995,0.273875002,1.3710001,48,0.256657544,13.1460001,0.089,1
x8tcmtpj,35,F,28-12-19,0.2295,0.2324375,1.112,48,0.169589606,11.157,0.074,0
m6q8kbjg,52,M,29-12-19,0.175,0.225,1.223,48,0.193691793,10.8,0.075,0
yg4rs07n,49,M,30-12-19,0.2225,0.2315,0.735,48,0.142199141,11.112,0.074,1
l19zgnbc,55,M,31-12-19,0.177,0.209020833,1.168,48,0.170051993,10.033,0.086,0
u8i3kbl4,54,M,01-01-20,0.1925,0.225,0.886,48,0.164065633,10.8,0.076,0
1mx6vk6s,63,M,02-01-20,0.2365,0.277083331,1.0779999,48,0.189625022,13.2999999,0.073,1
9sdehh8v,52,M,03-01-20,0.1955,0.209875,1.098,48,0.154632388,10.074,0.075,0
vqbreyna,56,M,04-01-20,0.1815,0.205354167,0.662,48,0.132950237,9.857,0.072,1
4lja9w93,66,M,05-01-20,0.1975,0.232729167,1.181,48,0.186772445,11.171,0.075,1
31y378jx,65,M,06-01-20,0.2035,0.2144375,1.092,48,0.152399937,10.293,0.078,1
md85dtrg,53,F,07-01-20,0.1455,0.196645833,0.727,48,0.144426745,9.439,0.077,0
av2jf9nk,43,M,08-01-20,0.159,0.242500002,1.2410001,48,0.207039219,11.6400001,0.075,1
tup65ch6,55,M,09-01-20,0.2265,0.317895833,1.143,48,0.285157832,15.259,0.077,0
stnjl8f8,49,F,10-01-20,0.1695,0.22375,1.095,48,0.190454384,10.74,0.075,0
l6xgrxp5,39,M,11-01-20,0.21,0.228729165,1.1109999,48,0.175417393,10.9789999,0.074,0
7nla9aji,52,F,12-01-20,0.2165,0.220541665,1.1289999,48,0.169394776,10.5859999,0.074,0
ec8lpgl3,48,M,13-01-20,0.158,0.215833333,1.206,48,0.184414465,10.36,0.071,1
bc1huphj,39,F,14-01-20,0.2195,0.2556875,1.007,48,0.20723367,12.273,0.074,0
0q0sxm50,58,M,15-01-20,0.13,0.204791667,1.187,48,0.186119609,9.83,0.073,1
yiwu2bk8,43,M,16-01-20,0.2285,0.300166669,1.4220001,48,0.317735367,14.4080001,0.074,0
rc4ngisw,39,M,17-01-20,0.172,0.205354167,1.016,48,0.157819651,9.857,0.074,0
qw5x4b8x,56,M,18-01-20,0.2375,0.352541669,1.358,48,0.312364152,16.9220001,0.072,0
kq3zt5rf,41,M,19-01-20,0.185,0.327958333,1.461,48,0.354211438,15.742,0.074,0
il0prv0o,65,M,20-01-20,0.221,0.240208333,1.151,48,0.191059304,11.53,0.073,1
1cyk0ajn,51,M,21-01-20,0.226,0.259500002,1.3710001,48,0.230362999,12.4560001,0.074,0
2rf3mu4w,40,F,22-01-20,0.194,0.226458335,1.2920001,48,0.195854599,10.8700001,0.072,1
pgn7tm8f,40,M,23-01-20,0.208,0.228958333,0.927,48,0.168092295,10.99,0.074,1
k994eyl3,46,M,24-01-20,0.211,0.252583333,1.138,48,0.224008153,12.124,0.075,1
xnea9h70,57,M,25-01-20,0.2225,0.234583333,0.756,48,0.156174457,11.26,0.072,0
jobroaur,48,F,26-01-20,0.2205,0.340583333,1.603,48,0.364363673,16.348,0.074,0
z01saucu,34,M,27-01-20,0.21,0.238875,0.951,48,0.175111469,11.466,0.074,0
h2uaayo3,50,M,28-01-20,0.148,0.206395833,0.796,48,0.156436479,9.907,0.073,0
u1claajf,39,M,29-01-20,0.1395,0.205958333,0.912,48,0.175084412,9.886,0.071,0
csgw7vvz,59,F,30-01-20,0.167,0.214520833,1.302,48,0.185812648,10.297,0.073,0
08nuc7fc,57,M,31-01-20,0.1275,0.191833331,1.0779999,48,0.158474005,9.2079999,0.074,1
upvijmrg,47,M,01-02-20,0.202,0.207354165,1.3329999,48,0.185245941,9.9529999,0.074,0
9hjss3fl,38,M,02-02-20,0.182,0.314520833,1.472,48,0.331505206,15.097,0.073,0
plede1kn,49,F,03-02-20,0.1835,0.235208333,1.498,48,0.250546888,11.29,0.074,0
bcl5776f,33,F,04-02-20,0.1255,0.183291667,0.73,48,0.124642802,8.798,0.074,1
ejg393zs,38,M,05-02-20,0.174,0.294708331,1.298,48,0.303950365,14.1459999,0.08,1
s12rusrr,59,F,06-02-20,0.1915,0.296291667,1.327,48,0.304656624,14.222,0.075,1
98dvj7lw,35,F,07-02-20,0.1685,0.243416667,1.383,48,0.247702793,11.684,0.072,0
gszkxr1d,34,M,08-02-20,0.169,0.200729167,0.732,48,0.138729147,9.635,0.074,1
hht23dh0,47,F,09-02-20,0.1895,0.307208335,1.3200001,48,0.32454702,14.7460001,0.074,1
0xqhpqm4,52,F,10-02-20,0.2195,0.330645833,1.501,48,0.350313871,15.871,0.074,0
az1puj81,46,M,11-02-20,0.223,0.239875,1.151,48,0.186714326,11.514,0.073,0
nror02j6,58,F,12-02-20,0.2075,0.228291667,1.023,48,0.171105661,10.958,0.073,1
hjqotwtn,58,M,13-02-20,0.1505,0.2323125,0.838,48,0.18795961,11.151,0.074,0
r8x24jjd,54,M,14-02-20,0.1535,0.209208333,0.976,48,0.17310739,10.042,0.073,0
0qhjk7lh,34,F,15-02-20,0.1285,0.236041667,0.949,48,0.212832364,11.33,0.073,0
gdor3k5d,48,F,16-02-20,0.19,0.225145833,0.968,48,0.164779284,10.807,0.075,0
qluoacik,54,F,17-02-20,0.1375,0.192104167,1.296,48,0.189407165,9.221,0.075,0
4wrp6477,42,M,18-02-20,0.1345,0.199229167,0.887,48,0.165833451,9.563,0.067,0
8hg6wi7z,38,M,19-02-20,0.2105,0.235270833,0.943,48,0.184390167,11.293,0.068,0
ueai8tno,46,M,20-02-20,0.1915,0.2279375,1.174,48,0.202041607,10.941,0.067,1
oj5z1vmd,56,M,21-02-20,0.2095,0.431166669,2.8870001,48,0.570834312,20.6960001,0.07,1
jdzs2elm,56,M,22-02-20,0.241,0.500375004,2.994,48,0.585114311,24.0180002,0.068,1
nzl7a8xt,61,F,23-02-20,0.231,0.294270833,1.205,48,0.254685851,14.125,0.069,0
zwodc16j,49,M,24-02-20,0.223,0.411479167,1.812,48,0.446389535,19.751,0.065,1
ikr1bgbc,43,F,25-02-20,0.1375,0.233291667,0.791,48,0.193447883,11.198,0.073,0
w4z69is6,39,M,26-02-20,0.209,0.232812498,1.1059999,48,0.18121441,11.1749999,0.067,0
0ei5v1qn,54,M,27-02-20,0.239,0.328520833,1.28,48,0.295521176,15.769,0.076,1
sc8zzqgy,43,M,28-02-20,0.4985,0.679750004,1.978,48,0.542545955,32.6280002,0.081,1
p9sjl867,52,M,01-03-20,0.339,0.818416667,2.5239999,48,0.723187381,39.284,0.071,1
zcfyq93u,50,M,02-03-20,0.4105,0.54775,1.642,48,0.456283856,26.292,0.079,1
hgck2kfu,47,M,03-03-20,0.302,0.491250002,1.862,48,0.493467565,23.5800001,0.072,1
mfha6nn8,53,M,04-03-20,0.1755,0.530145831,2.4649999,48,0.626645809,25.4469999,0.07,0
d1e6uabw,56,F,05-03-20,0.723,0.684499998,2.3740001,48,0.500224589,32.8559999,0.072,1
9pd33p6k,39,M,06-03-20,0.2125,0.346604167,1.515,48,0.313040052,16.637,0.079,0
eqewn6j4,42,M,07-03-20,0.4055,0.577458335,2.0450001,48,0.464255438,27.7180001,0.071,0
703g31e5,43,F,08-03-20,0.2365,0.39325,1.442,48,0.377233293,18.876,0.075,0
d0wp7iuq,50,M,09-03-20,0.198,0.226208333,1.155,48,0.183830051,10.858,0.077,0
ikxbwbqf,54,M,10-03-20,0.273,0.3998125,2.026,48,0.401719742,19.191,0.075,1
szpo38hi,39,M,11-03-20,0.186,0.284541667,1.674,48,0.25551458,13.658,0.077,0
b6219mp3,48,M,12-03-20,0.1965,0.336145833,1.09,48,0.244364742,16.135,0.091,0
ohsu2rl5,40,M,13-03-20,0.2065,0.269916667,1.323,48,0.213721715,12.956,0.073,0
j8tes6q5,55,M,14-03-20,0.154,0.255958333,0.903,48,0.191537448,12.286,0.067,0
vo49287v,41,M,15-03-20,0.207,0.274270833,0.976,48,0.187827755,13.165,0.074,0
gs4r9j7o,56,M,16-03-20,0.1385,0.263583333,1.017,48,0.206368997,12.652,0.074,1
wysz2k74,38,M,17-03-20,0.3585,0.362145835,1.4170001,48,0.264046586,17.3830001,0.075,1
ioyn46of,49,M,18-03-20,0.168,0.276979163,1.0549999,48,0.232689395,13.2949998,0.072,0
ke5967zx,44,M,19-03-20,0.126,0.2608125,1.225,48,0.228448295,12.519,0.074,1
cu20dizt,54,M,20-03-20,0.2775,0.291958333,1.061,48,0.185488539,14.014,0.078,0
7nzws8jt,59,M,21-03-20,0.203,0.223479167,1.038,48,0.167610362,10.727,0.073,1
8o5on4vn,49,M,22-03-20,0.271,0.28175,0.962,48,0.183237493,13.524,0.073,1
ig02ipyt,47,M,23-03-20,0.3725,0.5333125,2.457,48,0.536007948,25.599,0.082,0
t3823edr,42,M,24-03-20,0.188,0.323645833,1.572,48,0.298188609,15.535,0.078,0
9ajfi2ki,52,F,25-03-20,0.1045,0.1204375,0.415,48,0.073207344,5.781,0.065,0
g693adjd,46,M,26-03-20,0.105,0.103854167,0.133,48,0.011701954,4.985,0.07,1
vspnwp72,50,M,27-03-20,0.103,0.1061875,0.194,48,0.025467256,5.097,0.065,1
nzkixriv,48,M,28-03-20,0.1035,0.1026875,0.127,48,0.013613442,4.929,0.08,0
je1egic1,58,M,29-03-20,0.104,0.100854167,0.139,48,0.023765691,4.841,0.066,0
ol0bj3hs,58,M,30-03-20,0.1035,0.102729167,0.189,48,0.026018602,4.931,0.066,0
wk63bmgn,29,M,31-03-20,0.099,0.102770833,0.138,48,0.016739861,4.933,0.072,0
pvbbk8cg,40,M,01-04-20,0.1065,0.103125,0.143,48,0.027871762,4.95,0.067,0
yv24g3ex,53,M,02-04-20,0.135,0.250291667,0.875,48,0.196407301,12.014,0.069,0
xdnv15ne,49,M,03-04-20,0.147,0.2379375,1.017,48,0.181168947,11.421,0.071,0
nmpi5hun,52,M,04-04-20,0.344,0.343791667,1.233,48,0.266251597,16.502,0.077,1
ua6in488,43,M,05-04-20,0.273,0.303229167,1.191,48,0.223129982,14.555,0.073,1
48uskynh,54,M,06-04-20,0.276,0.347479169,1.1720001,48,0.263755776,16.6790001,0.075,1
eetg9v7s,59,M,07-04-20,0.258,0.279666667,0.934,48,0.180075201,13.424,0.074,0
88clzw4v,37,M,08-04-20,0.209,0.294541671,1.4960001,48,0.28731517,14.1380002,0.073,0
74asiiup,46,F,09-04-20,0.21,0.283895833,1.271,48,0.229655731,13.627,0.073,0
ion3xfzv,52,M,10-04-20,0.3045,0.290291669,1.1440001,48,0.200431985,13.9340001,0.073,1
nr6ef5v1,51,M,11-04-20,0.147,0.275291667,0.956,48,0.205039898,13.214,0.081,0
rpqfhkwp,52,M,12-04-20,0.196,0.261729167,1.46,48,0.248717539,12.563,0.088,1
820yskak,46,M,13-04-20,0.6365,0.540791667,1.418,48,0.344423537,25.958,0.079,0
1gt0n6uo,54,F,14-04-20,0.194,0.263145835,1.5420001,48,0.23071601,12.6310001,0.077,0
xgw6msls,58,M,15-04-20,0.2695,0.290354167,0.988,48,0.160149065,13.937,0.074,1
5oerh31q,58,M,16-04-20,0.1785,0.227916667,1.036,48,0.163111479,10.94,0.075,0
2uk4doft,41,M,17-04-20,0.134,0.188520833,0.894,48,0.143158444,9.049,0.076,1
pligb2j6,50,F,18-04-20,0.1525,0.215541667,0.678,48,0.157060221,10.346,0.073,0
m9d90tgq,53,M,19-04-20,0.168,0.214645833,0.87,48,0.149018846,10.303,0.073,1
jl48e5c0,46,M,20-04-20,0.2885,0.3734375,1.681,48,0.292541971,17.925,0.075,0
cs8n5kid,50,M,21-04-20,0.222,0.282916667,0.841,48,0.202486756,13.58,0.075,0
75w76le4,48,M,22-04-20,0.1355,0.186854167,0.898,48,0.148769991,8.969,0.074,0
20uq34pw,45,M,23-04-20,0.1305,0.171354167,1.17,48,0.163700491,8.225,0.073,0
09vuwtzr,41,F,24-04-20,0.1315,0.177895833,0.91,48,0.144584546,8.539,0.074,0
vuc9loqi,62,F,25-04-20,0.132,0.197520833,1.374,48,0.207445454,9.481,0.073,0
kzn8lwzu,49,M,26-04-20,0.156,0.208,0.822,48,0.155166349,9.984,0.074,0
3tn77t8u,42,M,27-04-20,0.165,0.200520833,1.011,48,0.159170054,9.625,0.073,0
5afkr3uy,53,M,28-04-20,0.169,0.2055,0.748,48,0.143898753,9.864,0.073,1
8pc7hc84,57,F,29-04-20,0.1195,0.157729167,1.178,48,0.169536382,7.571,0.067,0
g4gll50x,47,M,30-04-20,0.123,0.18,0.936,48,0.165135019,8.64,0.074,0
rk1cxwz6,46,M,01-05-20,0.126,0.168104167,1.052,48,0.147537408,8.069,0.075,0
6agqpt2g,42,M,02-05-20,0.1365,0.194645833,0.877,48,0.15198901,9.343,0.073,0
jr9qyp0z,31,F,03-05-20,0.126,0.168937498,1.1059999,48,0.159818822,8.1089999,0.075,0
4um88wpu,56,M,04-05-20,0.1485,0.1948125,0.917,48,0.144764468,9.351,0.073,0
brzprnz3,50,M,05-05-20,0.129,0.183875,0.94,48,0.157011129,8.826,0.075,0
wdvt0chl,35,M,06-05-20,0.1305,0.154541667,0.753,48,0.104052556,7.418,0.075,0
zcjsvwso,35,M,07-05-20,0.129,0.158479167,1.005,48,0.136094615,7.607,0.074,1
l4hbpe4p,28,M,08-05-20,0.137,0.178666667,0.617,48,0.116848754,8.576,0.073,0
o6a0a2o3,54,M,09-05-20,0.128,0.1748125,1.166,48,0.169832039,8.391,0.073,1
xbjn879m,48,M,10-05-20,0.182,0.256333335,1.398,48,0.268682162,12.3040001,0.074,1
pwyculzt,50,F,11-05-20,0.184,0.210645833,1.092,48,0.163090171,10.111,0.073,1
stw1h13e,56,M,12-05-20,0.194,0.2584375,0.857,48,0.186528408,12.405,0.069,0
tcecnc54,56,F,13-05-20,0.1275,0.171666669,1.0700001,48,0.159764111,8.2400001,0.075,0
2527qek2,47,M,14-05-20,0.1595,0.203166667,0.752,48,0.140097585,9.752,0.073,1
kv7nbaly,30,F,15-05-20,0.1285,0.17375,0.631,48,0.120112093,8.34,0.074,0
5yvburwy,39,M,16-05-20,0.139,0.191958333,0.827,48,0.14103809,9.214,0.073,1
4lra2sih,54,M,17-05-20,0.1315,0.200791667,1.068,48,0.181684548,9.638,0.068,0
ndbc4kga,55,M,18-05-20,0.159,0.202375,0.688,48,0.136635659,9.714,0.073,0
n4najc74,29,M,19-05-20,0.164,0.223895833,1.071,48,0.187967883,10.747,0.099,0
thptcoqp,46,M,20-05-20,0.149,0.194916667,0.891,48,0.157284514,9.356,0.074,1
9ih0ijqd,51,F,21-05-20,0.156,0.2270625,1.141,48,0.186625966,10.899,0.073,1
o0g6iv9f,48,F,22-05-20,0.1475,0.218583333,1.232,48,0.201102052,10.492,0.077,0
zhtbzsyf,33,M,23-05-20,0.143,0.1963125,1.054,48,0.16899832,9.423,0.075,0
6l87fij9,55,M,24-05-20,0.154,0.215458333,0.935,48,0.179972806,10.342,0.074,0
fx51mtkh,50,M,25-05-20,0.1655,0.1945625,1.05,48,0.14610968,9.339,0.075,1
twfd6une,53,M,26-05-20,0.175,0.248270833,1.12,48,0.209462812,11.917,0.079,0
50y4vog6,38,M,27-05-20,0.156,0.232520833,0.913,48,0.191458455,11.161,0.078,1
zzljrkbf,41,M,28-05-20,0.145,0.253791667,1.391,48,0.259280096,12.182,0.074,0
1y7cyl80,37,F,29-05-20,0.1585,0.231229167,0.78,48,0.186133016,11.099,0.073,0
j56v40u3,37,M,30-05-20,0.155,0.238145833,1.322,48,0.245822717,11.431,0.073,0
5v2h724y,40,M,31-05-20,0.135,0.210375,0.997,48,0.172450995,10.098,0.073,0
k2f8sr71,38,F,01-06-20,0.214,0.2615625,1.051,48,0.194939369,12.555,0.074,0
bsz4va3o,41,M,02-06-20,0.178,0.251708333,0.998,48,0.194731453,12.082,0.075,0
tfsiq9ai,54,F,03-06-20,0.1275,0.222791667,1.513,48,0.252852321,10.694,0.071,0
i2ki7f07,39,M,04-06-20,0.141,0.230520833,1.247,48,0.236321814,11.065,0.074,0
2fx7a0ta,41,M,05-06-20,0.15,0.200416667,0.983,48,0.171813337,9.62,0.079,1
fnlu9s1x,55,M,06-06-20,0.144,0.194645833,0.662,48,0.141310958,9.343,0.077,1
i0hizpho,48,M,07-06-20,0.162,0.247916667,1.095,48,0.243206578,11.9,0.077,1
s5f1olt4,48,M,08-06-20,0.158,0.199958333,0.946,48,0.143613245,9.598,0.075,1
4do2dw5u,55,M,09-06-20,0.1575,0.192375,0.603,48,0.129032838,9.234,0.075,0
otg9jo1w,54,M,10-06-20,0.134,0.171666667,0.731,48,0.118064413,8.24,0.073,1
a8x25z65,55,M,11-06-20,0.134,0.1941875,1.029,48,0.155104173,9.321,0.072,1
dzkz0ybf,43,F,12-06-20,0.147,0.1953125,0.989,48,0.152108046,9.375,0.075,0
owa187l7,48,M,13-06-20,0.135,0.179770833,0.873,48,0.151710424,8.629,0.076,1
tudh4kgo,54,M,14-06-20,0.145,0.182520833,0.856,48,0.133693996,8.761,0.073,0
cgcb3qsp,54,M,15-06-20,0.2145,0.2891875,0.89,48,0.21874124,13.881,0.076,1
x9nfr0y8,48,M,16-06-20,0.158,0.242083333,1,48,0.215586072,11.62,0.08,1
8hlp6u58,45,M,17-06-20,0.185,0.255270833,0.887,48,0.203428145,12.253,0.084,1
enzfpvlx,49,M,18-06-20,0.145,0.211208333,1.148,48,0.17894204,10.138,0.079,1
oh4um491,44,M,19-06-20,0.1805,0.234791667,0.816,48,0.165734466,11.27,0.088,1
i890nudm,48,M,20-06-20,0.1365,0.181604167,0.986,48,0.145067811,8.717,0.084,1
kbulgxoa,61,M,21-06-20,0.147,0.223916667,0.961,48,0.206540587,10.748,0.08,0
2df2lgpa,62,M,22-06-20,0.1485,0.170458333,0.84,48,0.118475594,8.182,0.076,0
cktcol7e,55,M,23-06-20,0.1865,0.2324375,0.974,48,0.165823914,11.157,0.075,1
7gl5lptp,53,F,24-06-20,0.123,0.159395833,0.894,48,0.136016698,7.651,0.075,0
i6xzyy6h,55,F,25-06-20,0.166,0.195916667,0.808,48,0.134944407,9.404,0.079,0
skrack0x,36,M,26-06-20,0.137,0.184520833,0.677,48,0.127229896,8.857,0.077,0
5kbs0ym2,51,F,27-06-20,0.132,0.181041667,0.931,48,0.151053035,8.69,0.078,0
u0z5fnes,55,F,28-06-20,0.135,0.217520833,0.918,48,0.178688483,10.441,0.076,0
ah7xxmx7,46,M,29-06-20,0.152,0.185645833,0.887,48,0.130595769,8.911,0.075,0
rz01hlnt,54,F,30-06-20,0.126,0.158208333,0.913,48,0.127879757,7.594,0.087,0
e79vipsy,46,M,01-07-20,0.132,0.162625,1.007,48,0.145356294,7.806,0.077,1
0edbnlo6,59,M,02-07-20,0.1365,0.186625,0.839,48,0.148159722,8.958,0.079,1
iqx0rxun,47,M,03-07-20,0.138,0.197041665,1.1289999,48,0.185517662,9.4579999,0.084,1
q923fclz,54,M,04-07-20,0.156,0.195208333,0.982,48,0.154035497,9.37,0.082,0
am2anezi,52,M,05-07-20,0.1605,0.190375,0.957,48,0.149778933,9.138,0.079,1
rcfohwda,34,M,06-07-20,0.144,0.1965625,0.991,48,0.162797473,9.435,0.076,0
b21szgvy,54,M,07-07-20,0.14,0.221041667,1.122,48,0.219562811,10.61,0.079,1
eltfevtj,47,F,08-07-20,0.1195,0.154270833,0.98,48,0.145237259,7.405,0.069,0
7qatfxoj,45,M,09-07-20,0.106,0.108166667,0.186,48,0.024330467,5.192,0.071,0
wmgobb2h,32,F,10-07-20,0.11,0.111833333,0.192,48,0.02538917,5.368,0.073,0
3ec035tz,55,M,11-07-20,0.1095,0.125958333,0.425,48,0.0652817,6.046,0.071,1
shlcll6b,55,M,12-07-20,0.105,0.1040625,0.157,48,0.020017446,4.995,0.071,0
73wmvqur,45,F,13-07-20,0.1675,0.241270833,1.179,48,0.199034022,11.581,0.076,0
